iter	Passed	Remaining
587	5961	4176
588	5963	4160
589	5969	4147
590	5971	4132
591	5973	4117
592	5975	4101
593	5977	4085
594	5982	4072
595	5985	4057
596	5992	4045
597	5994	4029
598	6001	4017
599	6003	4002
600	6005	3987
601	6008	3972
602	6014	3959
603	6016	3944
604	6017	3929
605	6019	3913
606	6021	3898
607	6023	3883
608	6025	3868
609	6028	3854
610	6029	3839
611	6031	3824
612	6033	3809
613	6035	3794
614	6037	3779
615	6043	3767
616	6045	3752
617	6047	3737
618	6049	3723
619	6050	3708
620	6056	3696
621	6058	3682
622	6060	3667
623	6062	3653
624	6064	3638
625	6066	3624
626	6072	3612
627	6074	3598
628	6076	3584
629	6078	3569
630	6080	3555
631	6081	3541
632	6088	3529
633	6091	3516
634	6093	3502
635	6095	3488
636	6097	3474
637	6100	3461
638	6102	3447
639	6104	3433
640	6107	3420
641	6108	3406
642	6110	3392
643	6115	3380
644	6118	3367
645	6120	3353
646	6121	3340
647	6123	3326
648	6125	3312
649	6126	3299
650	6133	3288
651	6135	3274
652	6137	3261
653	6139	3247
654	6140	3234
655	6142	3221
656	6148	3209
657	6150	3196
658	6152	3183
659	6154	3170
660	6155	3157
661	6157	3143
662	6164	3133
663	6166	3120
664	6167	3107
665	6169	3094
666	6171	3080
667	6172	3067
668	6176	3056
669	6180	3043
670	6181	3031
671	6183	3018
672	6185	3005
673	6187	2992
674	6188	2979
675	6194	2968
676	6196	2956
677	6198	2943
678	6200	2931
679	6202	2918
680	6204	2906
681	6210	2895
682	6212	2883
683	6213	2870
684	6215	2858
685	6217	2845
686	6219	2833
687	6223	2822
688	6226	2810
689	6228	2798
690	6229	2785
691	6231	2773
692	6233	2761
693	6235	2749
694	6240	2738
695	6242	2726
696	6244	2714
697	6245	2702
698	6247	2690
699	6249	2678
700	6250	2666
701	6257	2656
702	6259	2644
703	6260	2632
704	6262	2620
705	6264	2608
706	6266	2596
707	6271	2586
708	6273	2574
709	6275	2563
710	6276	2551
711	6278	2539
712	6280	2528
713	6285	2517
714	6287	2506
715	6289	2494
716	6291	2483
717	6294	2472
718	6296	2460
719	6300	2450
720	6303	2439
721	6305	2427
722	6310	2417
723	6312	2406
724	6319	2397
725	6322	2386
726	6324	2374
727	6326	2363
728	6328	2352
729	6336	2343
730	6338	2332
731	6340	2321
732	6342	2310
733	6347	2300
734	6352	2290
735	6354	2279
736	6359	2269
737	6367	2260
738	6369	2249
739	6372	2238
740	6374	2227
741	6379	2218
742	6383	2208
743	6385	2197
744	6386	2186
745	6389	2175
746	6390	2164
747	6398	2155
748	6400	2144
749	6402	2134
750	6404	2123
751	6408	2113
752	6412	2103
753	6414	2092
754	6416	2082
755	6420	2072
756	6425	2062
757	6428	2052
758	6431	2042
759	6433	2031
760	6440	2022
761	6442	2012
762	6444	2001
763	6446	1991
764	6459	1984
765	6462	1974
766	6464	1963
767	6466	1953
768	6471	1944
769	6473	1933
770	6475	1923
771	6477	1913
772	6479	1902
773	6486	1893
774	6488	1883
775	6490	1873
776	6492	1863
777	6494	1853
778	6500	1844
779	6503	1834
780	6505	1824
781	6506	1813
782	6508	1803
783	6510	1793
784	6517	1785
785	6519	1775
786	6521	1764
787	6523	1754
788	6524	1744
789	6530	1736
790	6533	1726
791	6534	1716
792	6536	1706
793	6538	1696
794	6540	1686
795	6544	1677
796	6546	1667
797	6548	1657
798	6550	1647
799	6552	1638
800	6554	1628
801	6555	1618
802	6560	1609
803	6562	1599
804	6564	1590
805	6566	1580
806	6568	1570
807	6569	1561
808	6572	1551
809	6576	1542
810	6578	1533
811	6580	1523
812	6582	1514
813	6584	1504
814	6586	1495
815	6592	1486
816	6594	1477
817	6596	1467
818	6597	1458
819	6602	1449
820	6604	1440
821	6606	1430
822	6608	1421
823	6610	1411
824	6611	1402
825	6613	1393
826	6615	1383
827	6620	1375
828	6622	1366
829	6624	1356
830	6626	1347
831	6627	1338
832	6629	1329
833	6635	1320
834	6637	1311
835	6639	1302
836	6641	1293
837	6643	1284
838	6645	1275
839	6650	1266
840	6652	1257
841	6654	1248
842	6656	1239
843	6658	1230
844	6659	1221
845	6665	1213
846	6667	1204
847	6669	1195
848	6671	1186
849	6673	1177
850	6674	1168
851	6676	1159
852	6681	1151
853	6683	1142
854	6685	1133
855	6687	1125
856	6689	1116
857	6691	1107
858	6696	1099
859	6697	1090
860	6699	1081
861	6701	1072
862	6703	1064
863	6704	1055
864	6706	1046
865	6713	1038
866	6714	1030
867	6716	1021
868	6718	1012
869	6720	1004
870	6722	995
871	6728	987
872	6731	979
873	6733	970
874	6735	962
875	6737	953
876	6743	945
877	6749	937
878	6751	929
879	6753	920
880	6758	912
881	6760	904
882	6762	896
883	6764	887
884	6765	879
885	6767	870
886	6769	862
887	6775	854
888	6777	846
889	6779	837
890	6781	829
891	6783	821
892	6788	813
893	6790	805
894	6792	796
895	6794	788
896	6796	780
897	6798	772
898	6800	763
899	6805	756
900	6807	748
901	6809	739
902	6812	731
903	6814	723
904	6819	715
905	6822	707
906	6825	699
907	6827	691
908	6829	683
909	6831	675
910	6840	668
911	6843	660
912	6844	652
913	6850	644
914	6855	636
915	6856	628
916	6859	620
917	6861	612
918	6870	605
919	6872	597
920	6875	589
921	6877	581
922	6883	574
923	6886	566
924	6891	558
925	6898	551
926	6900	543
927	6902	535
928	6904	527
929	6906	519
930	6913	512
931	6915	504
932	6917	496
933	6919	488
934	6921	481
935	6923	473
936	6927	465
937	6930	458
938	6931	450
939	6937	442
940	6942	435
941	6946	427
942	6949	420
943	6951	412
944	6959	405
945	6961	397
946	6963	389
947	6965	382
948	6967	374
949	6973	367
950	6976	359
951	6981	351
952	6983	344
953	6990	337
954	6993	329
955	6995	321
956	6997	314
957	7000	306
958	7009	299
959	7011	292
960	7014	284
961	7022	277
962	7025	269
963	7027	262
964	7030	254
965	7035	247
966	7041	240
967	7044	232
968	7054	225
969	7056	218
970	7058	210
971	7061	203
972	7066	196
973	7068	188
974	7070	181
975	7072	173
976	7078	166
977	7081	159
978	7084	151
979	7086	144
980	7096	137
981	7098	130
982	7100	122
983	7102	115
984	7104	108
985	7111	100
986	7112	93
987	7114	86
988	7116	79
989	7118	71
990	7121	64
991	7128	57
992	7130	50
993	7133	43
994	7134	35
995	7140	28
996	7142	21
997	7143	14
998	7145	7
999	7147	0
